GL_ratio,Lower Mill Gap,Upper Mill Gap,Conversion Time,Vorlauf Time,Tot Mash Time,Fraction Vorlauf Time,Vorlauf Rate,First Wort Rate,Moisture Pct,CGAI,Bushel Weight,ST Ratio,AA,DPower,Batch ID,OG Run,Lot ID,Mash Efficiency,dP Vorlauf Mean,dP Voraluf StDev,dP Vorlauf Range,dP Collection Mean,dP Collection StDev,dP Collection Range,assortment_on7,assortment_on6,assortment_on5,assortment_thru5,cellar_batch_id_selected,min_gravity,last_gravity,sieve_14,sieve_30,sieve_60,sieve_pan,max_gravity_time_collection,max_gravity_collection,max_gravity_time_wvorlauf,max_gravity_wvorlauf,max_gravity_time_from_vstart
1.41,1.15,1.75,30.34,17.67,48.018,0.368,35.4,39.63,4.8,78.9,41.3,43.9,63,144,20190625.01053 - PsycHOPathy - FV4003,126,SH0173524,85.43,0.73,0.36,1.38,1.78,1.78,8.779963493,66.9,26.4,5.5,1.2,20190625 - PsycHOPathy - FV4003,2.1,2.1,48.52725601,30.78102112,10.94895458,9.742769241,0,23.63,-1,23.69,16.67
1.41,1.15,1.75,28.01,16.51,44.517,0.371,35.45,39.8,4.8,78.9,41.3,43.9,63,144,20190626.01054 - PsycHOPathy - FV2001,127,SH0173524,87.18,1.22,0.45,1.95,2.32,1.73,7.471914291,66.9,26.4,5.5,1.2,20190626 - PsycHOPathy - FV2001,2.7,2.7,55.66601944,29.44179726,8.551084518,6.341097355,0.5,23.72,-0.33,23.73,16.18
1.41,1.15,1.75,30.51,16.84,47.352,0.356,35.33,39.69,4.8,78.9,41.3,43.9,63,144,20190626.01055 - PsycHOPathy - FV2001,128,SH0173524,86.72,0.86,0.36,1.55,1.68,1.7,9.104488373,66.9,26.4,5.5,1.2,20190626 - PsycHOPathy - FV2001,2.7,2.7,52.82234573,29.53556442,9.496589661,8.145499229,0.17,24.73,0.17,24.73,17.01
1.41,1.15,1.75,29.18,15.5,44.682,0.347,34.96,39.7,4.8,78.9,41.3,43.9,63,144,20190702.01058 - PsycHOPathy - FV4004,129,SH0173524,87.66,0.82,0.4,1.61,1.97,1.78,9.222257614,66.9,26.4,5.5,1.2,20190702 - PsycHOPathy - FV4004,2.7,2.8,51.02314758,30.23404312,9.860595703,8.882212639,0.5,23.84,0.5,23.84,16
1.375,1.15,1.75,29.51,15.34,44.847,0.342,35.36,39.72,4.8,78.9,41.3,43.9,63,144,20190702.01060 - PsycHOPathy - FV4004,130,SH0173524,85.49,1.24,0.56,2.19,2.42,1.85,7.827411652,66.9,26.4,5.5,1.2,20190702 - PsycHOPathy - FV4004,2.7,2.8,46.65937042,29.90517807,10.92633057,12.50912094,0,23.45,0,23.45,15.34
1.41,1.15,1.75,29.68,15.34,45.017,0.341,35.33,39.68,5.2,78.2,43.1,40.3,59,167,20190711.01072 - PsycHOPathy - FV4002,131,SH0173696,86.77,0.97,0.27,1.45,1.8,2,9.696505547,68.4,24.7,5.9,1,20190711 - PsycHOPathy - FV4002,2.3,2.3,51.89168167,30.01270866,10.65597725,7.439630985,0.17,23.55,0.17,23.55,15.51
1.38,1.15,1.75,30.18,15.51,45.682,0.339,35.03,39.62,5.2,78.2,43.1,40.3,59,167,20190711.01074 - PsycHOPathy - FV4002,132,SH0173696,84.5,0.93,0.54,2.05,1.95,1.79,8.095075607,68.4,24.7,5.9,1,20190711 - PsycHOPathy - FV4002,2.3,2.3,54.57035446,28.43137169,9.47952652,7.518746853,0,23.38,0,23.38,15.51
1.41,1.15,1.75,30.51,15.01,45.519,0.33,35.45,39.74,5.2,78.2,43.1,40.3,59,167,20190718.01083 - PsycHOPathy - FV4001,133,SH0173696,87.32,1.14,0.41,1.83,2.1,1.83,9.672919273,68.4,24.7,5.9,1,20190718 - PsycHOPathy - FV4001,2,2.2,51.77584839,29.77900505,9.984214783,8.460930824,0.33,23.59,0.33,23.59,15.34
1.38,1.05,1.55,30.01,14.84,44.849,0.331,35.4,39.68,5.2,78.2,43.1,40.3,59,167,20190718.01084 - PsycHOPathy - FV4001,134,SH0173696,85.26,1.52,0.73,2.7,3,1.78,8.30223465,68.4,24.7,5.9,1,20190718 - PsycHOPathy - FV4001,2,2.2,49.83050537,31.98278046,9.73365593,8.453057289,0.17,23.32,0.17,23.32,15.01
1.41,1.25,1.95,30.51,15.17,45.682,0.332,35.4,39.68,5.2,78.2,43.1,40.3,59,167,20190725.01089 - PsycHOPathy - FV4002,135,SH0173696,86.06,0.66,0.22,1.1,1.58,1.79,8.692152977,68.4,24.7,5.9,1,20190725 - PsycHOPathy - FV4002,2.2,2.2,52.34411621,29.96332169,9.903301239,7.789262295,0.33,22.77,0.33,22.77,15.5
